Date,Open,High,Low,Close,Volume
2017-01-03,89,89,88.08,88.6,8787301
2017-01-04,88.985,90.89,88.58,90.51,11462690
2017-01-05,91.91,94.81,91.64,94.37,16787882
2017-01-06,94.4,94.5,93,93.89,7597313
2017-01-09,94.16,95.65,93.31,94.72,10817809
2017-01-10,96.4,97.904,95.55,96.75,14759642
2017-01-11,96.92,97.45,95.6,96.94,8723400
2017-01-12,96.85,96.85,94.8,95.9,8412007
2017-01-13,95.95,97.38,95.76,96.27,10683689
2017-01-17,96.32,96.59,95,96.12,6340300
2017-01-18,96.27,96.27,95.26,96,6594865
2017-01-19,96.42,96.7,95.58,96.17,7085977
2017-01-20,96.45,97.15,95.6707,96.06,9652613
2017-01-23,96.48,98.67,96.26,98.41,14000975
2017-01-24,103.15,103.19,99.94,101.43,37145549
2017-01-25,102.46,104.27,101.9,104.06,23308256
2017-01-26,103.92,104.57,102.17,102.75,12500045
2017-01-27,102.25,102.7,101.29,102.07,8025173
2017-01-30,101.2,101.46,100.09,101.02,8611445
2017-01-31,100.24,102.09,100.06,101.31,7522394
2017-02-01,102.07,102.38,100.87,101.57,5727161
2017-02-02,101.28,101.47,100.56,100.84,5363984
2017-02-03,101.5,101.56,100.3,100.39,6196352
2017-02-06,100.17,101.706,100.02,100.9,6784375
2017-02-07,101.04,101.6,100.5,100.83,5647859
2017-02-08,101.55,103.99,101.16,103.57,10169300
2017-02-09,103.325,104.18,102.56,103.34,8425744
2017-02-10,103.88,103.94,102.31,102.36,7671083
2017-02-13,102.82,104.44,102.62,103.1,9723142
2017-02-14,103.14,103.6,100.896,101.59,10229407
2017-02-15,102.06,102.13,100.11,101.55,12379569
2017-02-16,101.86,102.1,100.5,100.82,7457191
2017-02-17,100.69,101.73,100.3,100.52,8237860
2017-02-21,101.03,102.54,100.91,102.12,8180889
2017-02-22,102.48,105.2,102.42,104.2,15777214
2017-02-23,104.72,104.86,101.82,102.46,10089061
2017-02-24,101.39,103,101.3,102.95,7352765
2017-02-27,102.5,103.825,102.22,103.6,6860861
2017-02-28,103.89,103.99,102.03,102.9,8007397
2017-03-01,103.68,104.99,103.21,104.04,10324968
2017-03-02,103.8,104.58,102.77,103.19,7970746
2017-03-03,102.99,103.42,102.44,103.31,6313179
2017-03-06,102.76,103.25,102.1,102.31,6271474
2017-03-07,102.3,103.308,102.11,102.63,4980492
2017-03-08,102.63,104.29,102.54,103.22,7071039
2017-03-09,102.97,103.75,102.76,103.24,4521802
2017-03-10,103.43,103.7,102.63,103.39,4113217
2017-03-13,103.52,106.25,103.47,105.18,16113202
2017-03-14,104.61,106,103.822,104.25,7746921
2017-03-15,104.37,104.49,102.6,103.69,11693654
2017-03-16,105.25,105.65,104.301,105.63,12442077
2017-03-17,105.17,106.5,104.86,105.61,8775888
2017-03-20,106.23,108.2,105.94,107.25,12446076
2017-03-21,108.46,108.7,104.7,105.09,13874430
2017-03-22,104.64,106.12,103.98,106.09,7151976
2017-03-23,106.95,108.83,106.44,108.25,13409898
2017-03-24,108.4,109.13,107.23,108.04,7577102
2017-03-27,106.65,108.19,106.51,108.08,7699358
2017-03-28,108.23,108.95,107.46,107.8,6467098
2017-03-29,107.97,109.74,107.69,109.51,8784551
2017-03-30,109.729,110.45,108.66,108.85,10587171
2017-03-31,108.5,109.119,107.78,107.83,8993356
2017-04-03,108.85,109.47,107.52,108.09,8390061
2017-04-04,107.87,108.26,106.88,107.52,6477898
2017-04-05,108.36,108.82,107.32,107.44,8188314
2017-04-06,107.59,108.42,107.15,108.04,5201954
2017-04-07,107.88,109.07,106.76,108.99,8352139
2017-04-10,109,111.88,108.84,111.7,14796280
2017-04-11,111.4,111.79,109.46,110.44,10011311
2017-04-12,110.5,111.7,110.31,110.63,8097567
2017-04-13,110.72,111.45,109.82,110.21,6854500
2017-04-17,110.91,111.87,110.3,111.76,7120114
2017-04-18,111.2,112.2,110.867,111.23,8297300
2017-04-19,111.99,112.2,110.57,110.76,9597570
2017-04-20,111.53,113.6,111.48,112.96,13771710
2017-04-21,112.8,113.17,112.3,113.11,8954617
2017-04-24,114.04,115.16,114.02,114.86,13417024
2017-04-25,115.54,115.82,114.8,115.48,11332311
2017-04-26,115.37,115.75,114.622,114.97,6674181
2017-04-27,115,115.96,114.83,115.43,9435859
2017-04-28,115.9,115.99,115,115.5,6984673
2017-05-01,115.63,117.24,115.5,116.68,7312993
