Date,Open,High,Low,Close,Volume
2017-01-03,25.3215,25.4776,25.019,25.1947,8208448.3588094
2017-01-04,25.4191,25.4533,24.9654,25.2239,7900638.5909906
2017-01-05,25.5167,26.1509,25.4191,25.663,10066461.105034
2017-01-06,25.663,25.7704,25.2922,25.6338,6025029.6878401
2017-01-09,25.9948,26.2973,25.5069,25.624,8093633.6910735
2017-01-10,25.663,26.4437,25.6143,26.2192,20353164.19566
2017-01-11,26.1119,26.5217,25.8045,26.1217,5444122.8503615
2017-01-12,26.1802,26.1802,25.8387,25.9655,4678768.9352179
2017-01-13,26.1217,26.2485,25.8777,26.19,5789201.21706
2017-01-17,26.1705,26.9804,26.0631,26.551,7799393.5629667
2017-01-18,26.6779,26.834,26.2095,26.5022,6056246.7254707
2017-01-19,26.6388,27.1657,26.4729,27.0779,9386849.7679543
2017-01-20,27.2828,27.4585,26.873,26.9316,6818651.2090689
2017-01-23,26.834,27.5853,26.795,27.4975,10057999.167484
2017-01-24,27.8098,28.2098,27.5365,27.8488,13033918.20676
2017-01-25,28.0732,28.1415,27.6671,27.8976,7618895.1162066
2017-01-26,28.1025,28.1025,27.4975,27.6341,5827535.6285898
2017-01-27,27.6634,27.8098,27.439,27.6732,3170004.5476854
2017-01-30,27.4878,27.9464,27.3804,27.8683,3562678.6229515
2017-01-31,27.6341,27.7707,27.3316,27.7122,4424469.1113551
2017-02-01,27.8976,27.8976,27.3414,27.4487,4133059.5356902
2017-02-02,27.3219,27.5268,27.2048,27.4878,4377639.9680397
2017-02-03,27.5951,27.7122,27.3999,27.6341,3762605.6045397
2017-02-06,27.9464,28.1025,27.6634,27.8488,3986092.1697953
2017-02-07,27.9659,28.2391,27.7707,28.1123,4834681.953635
2017-02-08,28.1123,28.3562,27.9366,28.2684,3577205.4444089
2017-02-09,28.2586,28.4928,28.0635,28.3074,6200354.8439676
2017-02-10,28.5026,28.8099,28.3074,28.6685,4327894.1874145
2017-02-13,28.8051,28.9319,28.4001,28.8051,5708349.0793486
2017-02-14,28.766,29.0197,28.5709,28.7172,3308209.7038124
2017-02-15,28.7855,29.5174,28.688,29.41,7531078.3027545
2017-02-16,29.5857,29.8296,29.3027,29.4979,7789541.9696919
2017-02-17,28.8539,29.5369,28.7953,29.1271,6562279.1994574
2017-02-21,29.2734,29.5515,29.088,29.4979,5191263.923216
2017-02-22,29.5369,29.9272,29.371,29.7321,6544265.9408503
2017-02-23,30.0053,30.1321,29.4979,29.8687,9673659.9521059
2017-02-24,29.7613,29.7808,29.3027,29.5369,4350020.0481033
2017-02-27,29.5662,30.1614,29.5174,30.0541,5984229.559737
2017-02-28,30.2199,30.4053,29.6247,29.8296,8015658.2226977
2017-03-01,30.0833,30.2395,29.8199,29.9272,7334458.4148412
2017-03-02,30.9713,31.6836,29.7418,30.1809,22465803.683282
2017-03-03,30.5615,30.8152,30.1224,30.1809,8901096.4292761
2017-03-06,30.2199,30.2297,29.5076,29.6735,7859679.6158098
2017-03-07,29.4686,30.1907,29.2344,30.0053,7450926.1170047
2017-03-08,29.8687,30.8737,29.8589,30.581,8012884.0353477
2017-03-09,30.3956,30.7469,30.2102,30.4444,5505193.9152143
2017-03-10,30.5907,30.7859,30.1956,30.3078,5121075.0361052
2017-03-13,30.7274,31.0494,30.3956,30.9225,6634125.2202751
2017-03-14,30.6981,30.8249,30.3566,30.6103,4473044.5477049
2017-03-15,30.5907,30.7664,30.3273,30.62,4477260.656592
2017-03-16,31.0981,31.4299,30.6786,30.7761,6525489.1914505
2017-03-17,31.0006,31.0006,30.581,30.7957,5930159.0393199
2017-03-20,30.8054,31.0981,30.7761,30.9518,4376759.6477835
2017-03-21,31.1079,31.1567,29.41,29.5857,9596859.9521048
2017-03-22,29.4491,29.8687,29.1563,29.8394,6958567.8143552
2017-03-23,30.1029,30.5907,29.8687,30.5322,9162437.7903689
2017-03-24,30.659,31.0689,30.3468,30.5029,5760125.0281084
2017-03-27,30.2492,30.7859,30.015,30.62,4122705.780686
2017-03-28,30.5712,31.225,30.4541,30.6981,5833006.1169806
2017-03-29,30.7371,30.903,30.6639,30.8152,3165818.1585741
2017-03-30,30.7371,31.1177,30.7078,30.7957,4922329.6718108
2017-03-31,30.6395,30.7957,30.3322,30.3663,4871215.756678
2017-04-03,30.6688,31.3226,30.5127,31.1469,8131820.5285441
2017-04-04,31.0298,31.1177,30.4736,30.6786,5009769.3515559
2017-04-05,30.8152,31.2835,30.6786,30.7664,5442250.5044847
2017-04-06,30.9225,31.4787,30.7274,31.4494,5863806.0529298
2017-04-07,31.4202,31.4689,30.8054,31.2348,5791279.5517277
2017-04-10,31.3811,32.1227,31.3714,31.8788,8358334.4116539
2017-04-11,31.908,32.475,31.4397,31.5177,8254109.2074891
2017-04-12,31.5275,32.0837,31.5275,31.9178,6291114.9400458
2017-04-13,31.9471,32.0739,31.6641,31.6836,2983072.28187
2017-04-17,31.8788,32.2885,31.791,31.9276,4287313.3707605
2017-04-18,31.8788,32.2057,31.7617,32.0447,4279681.5372936
2017-04-19,32.3569,33.1766,32.2984,32.5521,10314373.226735
2017-04-20,33.2156,33.3132,32.6399,33.1473,8000783.9873091
2017-04-21,33.3132,33.884,33.1766,33.5181,11605764.099453
2017-04-24,33.9377,34.0938,33.5278,33.7328,9694390.0081511
2017-04-25,34.1523,34.2206,34.0352,34.1133,7061012.9064304
2017-04-26,34.2109,34.2255,33.9572,34.0938,6220572.4900848
2017-04-27,34.2011,34.4646,34.1231,34.4451,5102573.9632467
2017-04-28,34.6402,34.6402,33.8889,34.2206,4878105.6205692
2017-05-01,34.289,34.5914,34.1719,34.4841,5854384.8839945
2017-05-02,34.4939,34.7037,34.0255,34.5914,5303698.9592465
2017-05-03,34.6695,34.6695,33.6742,34.2987,8116441.0569666
2017-05-04,34.406,34.6354,34.1112,34.5427,10248851.369248
2017-05-05,34.6402,35.0305,34.3085,34.9135,9258094.4757186
2017-05-08,36.9626,38.1433,36.7772,37.6164,32115345.524899
2017-05-09,37.8993,38.0457,37.3529,37.5871,16610006.597526
2017-05-10,37.6164,38.4067,37.4895,38.3677,17159035.388567
2017-05-11,38.2018,39.0312,37.8115,38.7971,13361198.527021
2017-05-12,38.8556,39.7338,38.8068,39.5777,14267674.235601
2017-05-15,39.9973,40.0185,38.9434,39.2557,12806016.717565
2017-05-16,39.3045,40.007,39.2557,39.7826,15329072.986618
2017-05-17,39.2264,39.968,38.9922,39.0703,10516065.972935
2017-05-18,38.0799,39.4167,37.6554,39.1874,12832134.251593
2017-05-19,39.4899,40.7096,39.4411,40.0656,12623329.255593
2017-05-22,40.6023,40.9535,40.2022,40.651,11755798.751176
2017-05-23,40.9438,40.9535,39.3435,39.7338,11841871.321234
2017-05-24,39.8704,39.9192,38.8068,39.4606,10989993.915296
2017-05-25,40.007,40.3486,39.7289,40.0265,9978808.262759
2017-05-26,39.9387,40.1046,39.6314,39.9973,6947893.2907362
2017-05-30,40.1046,40.1046,39.3923,39.8021,7285926.0209254
2017-05-31,39.7338,39.8021,38.7288,39.0605,14854779.183568
2017-06-01,39.2264,39.4899,39.0117,39.3142,10310806.853637
2017-06-02,39.3435,39.3923,38.8946,39.2557,8928392.506138
2017-06-05,39.3435,39.5484,39.0996,39.3435,5680313.0825507
2017-06-06,39.2264,39.5679,39.0996,39.2069,6473830.0721542
2017-06-07,39.324,40.4266,39.1776,40.1827,7364724.4196455
2017-06-08,42.3587,42.7392,40.2217,40.9047,24484809.479949
2017-06-09,41.4609,41.4805,37.5285,38.0555,23853902.706521
2017-06-12,38.0555,38.6605,37.0602,38.2701,18466537.454239
2017-06-13,38.8654,39.1679,37.9935,38.3189,11362426.773588
2017-06-14,38.6117,38.6161,37.2748,37.47,15220504.595904
2017-06-15,37.109,37.2163,35.8795,37.1968,17644049.832129
2017-06-16,37.0016,37.6505,36.8162,37.2456,10551934.667892
2017-06-19,38.4994,39.3435,38.397,38.7775,17501609.095537
2017-06-20,38.6409,38.8751,37.8115,37.9579,8881392.2179067
2017-06-21,38.2409,40.2705,38.0067,40.0949,16439040.000245
2017-06-22,39.6362,40.4461,39.6167,40.329,11280465.780793
2017-06-23,40.2998,42.0171,40.007,41.9098,16282911.769659
2017-06-26,42.2611,43.11,41.0318,42.0367,17523496.1732
2017-06-27,41.7537,41.9098,39.5484,39.7045,16459462.610334
2017-06-28,40.4852,40.5144,38.6702,40.2802,14052282.722387
2017-06-29,40.1534,40.1924,38.2701,38.5434,15313587.958595
2017-06-30,38.8995,38.9825,37.8018,38.2701,13600191.641516
2017-07-03,38.8654,38.8654,37.8115,37.9189,5855238.5589344
2017-07-05,38.0067,38.9533,37.5773,38.7971,11870906.517391
2017-07-06,38.2604,38.5336,37.7725,38.1628,8738883.8432049
2017-07-07,38.153,38.6995,38.153,38.2701,6765900.6566262
2017-07-10,38.2994,39.6509,38.2604,39.4508,9877291.6574732
2017-07-11,39.607,40.3339,39.3435,39.8216,8223152.4741019
2017-07-12,40.2705,40.9633,40.2022,40.4364,8324906.8375942
2017-07-13,40.4949,40.895,40.0168,40.4266,5265352.2498784
2017-07-14,40.3778,41.1145,40.1778,40.9926,7449130.6326172
2017-07-17,41.0316,41.1194,39.9778,40.6218,7745942.0337425
2017-07-18,40.5925,42.0562,40.3388,41.9488,10353848.262765
2017-07-19,42.3489,43.0222,41.7348,42.1733,12511809.383694
2017-07-20,42.2123,42.4367,41.4853,41.8805,5968271.0649409
2017-07-21,41.9586,42.1879,41.3731,42.0367,4255443.5228818
2017-07-24,42.105,42.6221,42.0074,42.4855,5983792.9864784
2017-07-25,42.6904,43.6467,42.2221,43.3832,8685269.3676236
2017-07-26,43.676,45.7154,43.539,44.7591,16105960.22442
2017-07-27,45.3738,45.7154,42.8173,44.0663,16571538.959415
2017-07-28,43.6174,44.8477,43.1295,44.1248,9139951.1930907
2017-07-31,44.1736,44.8701,43.3637,44.076,11746116.253178
2017-08-01,44.7103,44.7981,44.1541,44.4468,6336029.7198704
