Date,Open,High,Low,Close,Volume
2017-01-03,34.89,35.78,34.3,35.18,1016373
2017-01-04,35.16,36.945,35.11,36.48,1111457
2017-01-05,36.41,37.29,36,37.17,1202344
2017-01-06,37.2,37.55,36.75,37.36,1304011
2017-01-09,37.39,38.175,36.76,38.05,708634
2017-01-10,38.35,41.98,37.95,41.04,3069972
2017-01-11,40.63,41.03,40.24,40.85,1043409
2017-01-12,40.5,40.85,38.939,40.37,1031265
2017-01-13,40.52,40.52,39.1,39.67,993412
2017-01-17,39.51,40.92,39.15,40.55,1508624
2017-01-18,40.55,40.55,39.795,40.23,619364
2017-01-19,40.44,40.44,40.065,40.12,677793
2017-01-20,40.23,40.86,40,40.15,467012
2017-01-23,39.89,40.54,39.755,39.88,749289
2017-01-24,40.14,41.12,39.9,41.07,777983
2017-01-25,41.14,41.66,40.99,41.56,766806
2017-01-26,41.56,42.53,41.065,42.25,1045216
2017-01-27,42.39,42.7,41.83,42.31,978171
2017-01-30,41.99,42.53,40.96,41.73,1508372
2017-01-31,41.56,41.88,40.67,41.56,902568
2017-02-01,41.48,41.86,41.03,41.57,796843
2017-02-02,41.49,42.41,41.24,41.82,512478
2017-02-03,42.25,42.28,41.66,42.19,949057
2017-02-06,42,42.72,41.7,42.6,699331
2017-02-07,42.76,43.4904,42.23,42.59,1242663
2017-02-08,42.79,42.79,41.05,42.24,1105477
2017-02-09,42.48,43.08,42.1,42.28,802520
2017-02-10,42.54,43,42.415,42.79,436755
2017-02-13,42.87,42.9399,41.68,41.91,613057
2017-02-14,42.01,42.05,40.89,41.2,763374
2017-02-15,41.2,41.83,40.66,41.49,1090845
2017-02-16,41.35,41.85,40.01,40.17,977041
2017-02-17,40.2,40.6599,39.52,40.13,909925
2017-02-21,40.09,40.625,39.9,40.26,1196212
2017-02-22,40.27,41.32,40.02,41.26,1527865
2017-02-23,37.95,40.67,37,38.58,6726159
2017-02-24,37.55,39.98,37.45,39.3,3158734
2017-02-27,39.35,39.82,39,39.13,1123389
2017-02-28,38.13,39,37.59,37.81,1487917
2017-03-01,38.28,38.33,37.26,37.88,696666
2017-03-02,37.96,38.15,37.11,37.23,1394943
2017-03-03,37.96,37.96,36.3,36.37,1776892
2017-03-06,35.96,36.23,35.4,35.8,1250180
2017-03-07,35.48,35.985,35.36,35.78,850128
2017-03-08,35.87,36.46,35.7,35.92,911415
2017-03-09,35.9,36.2,35.45,36.14,822327
2017-03-10,36.27,37,36.04,36.1,800953
2017-03-13,36.39,37.51,36.3,37.25,1091582
2017-03-14,37.75,37.78,36.59,37.01,497735
2017-03-15,37.35,37.92,36.05,37.74,883506
2017-03-16,37.85,38.85,37.76,38.74,822544
2017-03-17,38.85,38.9697,38.11,38.81,937766
2017-03-20,38.99,39.8499,38.97,39.69,1081524
2017-03-21,39.22,39.38,38.08,38.58,676779
2017-03-22,38.38,39.07,37.9,38.73,695520
2017-03-23,38.84,39.17,38.24,38.3,436092
2017-03-24,38.54,38.77,38,38.37,486365
2017-03-27,37.93,39.45,36.93,39.35,1021095
2017-03-28,39.25,39.67,38.615,39.01,824564
2017-03-29,39.47,40.3,39.3,40.25,1305995
2017-03-30,40.33,40.53,39.88,39.9,505470
2017-03-31,40.31,40.72,39.8,40.49,696574
2017-04-03,40.38,41.53,39.96,41.37,908692
2017-04-04,41.27,41.49,40.97,41.29,407406
2017-04-05,41.23,41.52,40.18,40.21,634662
2017-04-06,40.23,41.59,40.12,41.59,747993
2017-04-07,41.68,42.93,41.59,42.65,1632516
2017-04-10,42.94,44.6,42.68,44.04,1366776
2017-04-11,44,44.64,43.17,44,952311
2017-04-12,44.15,44.73,43.538,44.63,664983
2017-04-13,44.68,44.98,43.47,43.51,696594
2017-04-17,43.17,44.195,42.161,43.84,794767
2017-04-18,43.77,44.17,43.55,43.9,472752
2017-04-19,44.24,45.86,43.85,45.68,1298925
2017-04-20,45.73,46.2,44.3501,45.62,1436702
2017-04-21,45.76,46.1849,45.01,45.96,491160
2017-04-24,46.45,46.96,43.1,43.48,3444503
2017-04-25,43.69,44.65,42.7,44.22,1253992
2017-04-26,44.28,44.53,43.74,44.07,439107
2017-04-27,44.28,45.7,44.15,45.32,846686
2017-04-28,45.4,45.88,45.13,45.71,837379
2017-05-01,45.5,48.82,45.27,47.02,1885609
2017-05-02,47.21,49.75,47.1,49,3005018
2017-05-03,48.47,49.1,47.85,48.39,907795
2017-05-04,48.28,48.93,47.74,48.45,625639
2017-05-05,48.73,48.97,47.68,48.52,1097047
2017-05-08,48.86,51.14,48.01,51.13,3436037
2017-05-09,57.36,64.48,56.75,61.73,11965307
2017-05-10,61.69,64.4,60.73,64.16,4097268
2017-05-11,61.8,65.8,61.2,64.54,4567453
2017-05-12,61.14,62.8,60.02,60.68,4701014
2017-05-15,61.18,62.375,60.26,61.09,2101508
2017-05-16,61.31,61.66,60.06,61.28,1405676
2017-05-17,60.72,62.15,60.33,61.74,1829613
2017-05-18,60.84,64.4,60.4,63.61,1980139
2017-05-19,63.07,64.16,61.91,61.92,1494868
2017-05-22,62.19,64.045,61.83,63.86,1089528
2017-05-23,64,64.23,62.93,63.71,1065438
2017-05-24,63.85,64.92,62.84,64.75,1327701
2017-05-25,64.85,64.85,63.2701,63.49,1423193
2017-05-26,63.99,65.15,63.26,65,727064
2017-05-30,64.47,65.24,62.698,64.09,1345296
2017-05-31,63.29,63.77,62.6201,62.95,1497952
2017-06-01,63.18,67.03,62.97,66.48,1733055
2017-06-02,68,68.56,66.68,68.18,1863631
2017-06-05,68.44,68.91,66.68,68.59,1008096
2017-06-06,68.6,70.36,68.43,69.53,1599994
2017-06-07,69.44,70.3,67.75,68.93,1609375
2017-06-08,69.66,73.5333,69.01,73.16,1838642
2017-06-09,73.05,73.16,69.55,70.07,3211463
2017-06-12,69.5,71,65.03,70.55,2430371
2017-06-13,70.79,72,69.994,70.56,934432
2017-06-14,71.57,72.94,70.24,71.78,1011369
2017-06-15,70.74,75.03,70.141,74.11,1698161
2017-06-16,73.77,76.54,73.2,76.17,3037094
2017-06-19,75.78,76,72.7,73.46,1899138
2017-06-20,73.46,75.44,73.46,74.5,1102099
2017-06-21,74.37,76.2,74.3,75.41,801068
2017-06-22,75.23,76.58,74.55,76.32,761508
2017-06-23,76.28,78.21,75.37,76.98,4242760
2017-06-26,77.51,77.51,75.03,75.85,1280179
2017-06-27,74.58,76.67,74.32,75.27,965905
2017-06-28,75.4,76.39,74.4,76.03,1260054
2017-06-29,76.1,76.3,72.47,74.03,1119600
2017-06-30,74.3,77.38,74.18,76.88,1144076
