Date,Open,High,Low,Close,Volume
2017-01-02,36.44,37.135,36.205,36.905,142055
2017-01-03,36.925,38.125,36.9,37.315,483411
2017-01-04,37.31,37.5,35.83,35.92,539248
2017-01-05,35.875,37.125,35.86,36.765,319191
2017-01-06,36.67,37.665,36.505,37.35,308847
2017-01-09,37.455,37.635,37.07,37.405,235413
2017-01-10,37.6,37.84,36.95,37.24,283978
2017-01-11,37.325,38.415,37.185,38.145,460474
2017-01-12,38.165,39.055,38.075,38.655,674495
2017-01-13,38.8,40.38,38.8,39.755,622717
2017-01-16,40.27,40.31,39.465,39.65,373425
2017-01-17,37.38,38.83,36.75,37.28,1846133
2017-01-18,37.58,37.8,36.455,37,904016
2017-01-19,37.075,37.455,36.76,36.8,378700
2017-01-20,36.735,36.895,34.92,35.89,1160243
2017-01-23,35.815,36,35.63,35.74,381559
2017-01-24,35.8,35.895,35.32,35.595,462099
2017-01-25,35.81,36.11,35.305,36.085,678831
2017-01-26,36.24,36.35,35.82,35.94,411594
2017-01-27,36.25,36.445,36,36.21,527862
2017-01-30,36.205,36.205,35.515,35.92,360081
2017-01-31,36.09,37.15,35.975,36.505,682085
2017-02-01,36.7,37.125,36.12,36.62,538409
2017-02-02,36.655,36.96,36.2,36.835,314782
2017-02-03,36.805,37.14,36.46,36.795,464758
2017-02-06,36.82,36.925,36.08,36.135,301594
2017-02-07,36,36.445,36,36.34,286486
2017-02-08,36.245,36.51,36.055,36.51,319943
2017-02-09,36.585,37.605,36.415,37.53,576854
2017-02-10,37.515,37.935,37.5,37.635,341589
2017-02-13,37.63,37.83,37.44,37.69,233482
2017-02-14,37.62,37.84,37.495,37.805,210583
2017-02-15,37.85,37.985,37.38,37.595,227269
2017-02-16,37.665,37.94,37.365,37.575,209609
2017-02-17,37.6,37.6,37.01,37.15,304681
2017-02-20,37.21,37.67,36.985,37.515,276625
2017-02-21,37.55,38.025,37.415,38.02,279664
2017-02-22,38.1,38.33,37.88,38.3,385725
2017-02-23,38.205,38.45,38.055,38.15,325846
2017-02-24,37.955,38.39,37.255,37.795,428171
